Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1960,-438485.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1961,-590872.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1962,-661102.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1963,-753426.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1964,-717997.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1965,-795102.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1966,-829136.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1967,-653876.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1968,-747200.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1969,-912116.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1970,-1424973.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1971,-1695760.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1972,-1515601.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1973,-1596618.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1974,-1632019.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1975,-1239378.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1976,-1037779.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1977,-774325.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1978,-1790986.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1979,-904775.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1980,481932.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1981,715507.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1982,-811414.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1983,-985739.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1984,-1454698.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1985,-1087967.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1986,-1184396.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1987,-1217793.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1988,-1346402.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1989,-1774150.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1990,-132471.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1991,-2720417.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1992,-4175140.0
 Ingreso mediano,MIC,Migración neta,SM.POP.NETM,1993,-3170414.0
