Year,"Region, development group, country or area",Both 0-4,Both 5-9,Both 10-14,Both  15-19,Both 20-24,Both 25-29,Both 30-34,Both 35-39,Both 40-44,Both 45-49,Both 50-54,Both 55-59,Both 60-64,Both 65-69,Both 70-74,Both 75+,Both Tot,Male 0-4,Male 5-9,Male 10-14,Male  15-19,Male 20-24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75+,Male Total,Female 0-4,Female 5-9,Female 10-14,Female  15-19,Female 20-24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75+,Female Total
1990,WORLD,4940094,6508813,7870896,9631753,12447939,14996038,15537248,14656263,13139765,10892546,9060619,7835999,6984570,5513803,4530472,8439339,152986157,2476298,3284970,4000045,4924353,6434147,7942542,8293968,7789458,6922877,5678707,4632035,3857470,3293280,2540798,1981709,3510810,77563467,2463796,3223843,3870851,4707400,6013792,7053496,7243280,6866805,6216888,5213839,4428584,3978529,3691290,2973005,2548763,4928529,75422690
1995,WORLD,4683966,6256492,7690520,9453166,12647768,15537757,16628877,16027056,14336636,12305048,10218192,8564677,7337114,5815127,5077938,8709642,161289976,2354445,3153537,3887731,4801711,6475181,8153077,8811070,8478976,7519782,6393284,5223117,4276902,3513851,2696095,2213175,3629567,81581501,2329521,3102955,3802789,4651455,6172587,7384680,7817807,7548080,6816854,5911764,4995075,4287775,3823263,3119032,2864763,5080075,79708475
2000,WORLD,4726060,6151369,7603830,9578087,13265739,16426853,17583870,17572798,15922905,13671237,11759161,9357971,8032602,6233097,5584364,9760642,173230585,2392576,3115655,3877901,4910941,6817436,8559073,9261159,9317190,8382393,7112038,6000204,4671519,3860302,2907096,2464430,4069920,87719833,2333484,3035714,3725929,4667146,6448303,7867780,8322711,8255608,7540512,6559199,5758957,4686452,4172300,3326001,3119934,5690722,85510752
2005,WORLD,4912830,6562128,8100234,10652190,14723741,18672920,19761152,19127145,17583960,15452989,13185577,11003384,8855977,6956626,5884632,10011343,191446828,2520983,3363157,4171355,5522578,7601839,9835576,10539334,10219738,9350286,8075320,6686447,5488808,4288733,3249866,2606555,4142506,97663081,2391847,3198971,3928879,5129612,7121902,8837344,9221818,8907407,8233674,7377669,6499130,5514576,4567244,3706760,3278077,5868837,93783747
2010,WORLD,5772791,7338510,8458240,11057021,16836768,22441097,23547822,22565333,20355347,18236074,15433441,12692544,10688291,7904843,6531925,11123140,220983187,2935031,3728826,4332848,5705761,8825410,12067543,12882330,12383495,10983507,9637162,7890007,6247346,5130699,3687302,2908010,4595604,113940881,2837760,3609684,4125392,5351260,8011358,10373554,10665492,10181838,9371840,8598912,7543434,6445198,5557592,4217541,3623915,6527536,107042306
2015,WORLD,6989696,8088701,8615587,10947107,17440377,24520690,26931251,25795909,23457127,20544862,17943736,14911632,12182859,9696107,7404517,12488486,247958644,3579554,4125266,4408277,5614439,9114542,13139702,14685736,14090272,12690563,10915101,9306888,7463903,5898179,4599558,3400387,5205691,128238058,3410142,3963435,4207310,5332668,8325835,11380988,12245515,11705637,10766564,9629761,8636848,7447729,6284680,5096549,4004130,7282795,119720586
2020,WORLD,8226578,9969159,10212634,12529837,19141706,26315409,29527008,29195374,26585188,23457176,20154425,17091853,13897964,10914100,8371616,15008078,280598105,4237565,5148784,5288849,6461852,10118188,14159198,16050261,15753005,14253606,12592956,10669236,8792385,6859059,5169015,3846137,6255748,145655844,3989013,4820375,4923785,6067985,9023518,12156211,13476747,13442369,12331582,10864220,9485189,8299468,7038905,5745085,4525479,8752330,134942261
1990,  Sub-Saharan Africa,1083361,1138728,1130403,1290880,1515511,1561038,1340614,1075290,831196,634469,502876,374043,314683,200441,122618,170190,13286341,536017,564394,560092,634816,764215,832195,742743,614420,483038,372046,293069,214548,173510,107873,65303,90138,7048417,547344,574334,570311,656064,751296,728843,597871,460870,348158,262423,209807,159495,141173,92568,57315,80052,6237924
1995,  Sub-Saharan Africa,1012625,1158292,1199559,1358836,1634823,1657725,1455735,1177974,931182,729249,582746,448670,359051,246182,147455,175333,14275437,505790,580310,603217,672189,811188,857653,784532,655010,528085,418852,335266,256392,200572,134652,78153,92232,7514093,506835,577982,596342,686647,823635,800072,671203,522964,403097,310397,247480,192278,158479,111530,69302,83101,6761344
2000,  Sub-Saharan Africa,924164,990600,1023440,1202364,1497621,1571026,1369026,1137359,895992,701645,544930,427741,333580,225715,142740,163286,13151229,460411,492765,511069,591120,745255,816875,739887,634418,510723,405485,315887,244820,187838,123268,75326,84845,6939992,463753,497835,512371,611244,752366,754151,629139,502941,385269,296160,229043,182921,145742,102447,67414,78441,6211237
2005,  Sub-Saharan Africa,1034882,1069954,1069072,1174209,1402051,1557317,1527641,1332506,1092284,859201,670340,516244,384447,262820,162632,174769,14290369,524444,537806,533213,574597,691253,799906,826725,755414,640258,509020,400578,304837,223096,150479,91715,93825,7657166,510438,532148,535859,599612,710798,757411,700916,577092,452026,350181,269762,211407,161351,112341,70917,80944,6633203
2010,  Sub-Saharan Africa,1045939,1098301,1138516,1303326,1535625,1698710,1650878,1505997,1267674,1041020,814903,621517,454229,296346,171531,210125,15854637,512881,538582,560153,628004,748198,863204,883984,846758,736927,609744,479971,359100,255921,163016,93165,108436,8388044,533058,559719,578363,675322,787427,835506,766894,659239,530747,431276,334932,262417,198308,133330,78366,101689,7466593
2015,  Sub-Saharan Africa,1388116,1464227,1345971,1490777,2013854,2427206,2308226,2038398,1667509,1326085,1028347,767057,550316,375492,249760,280533,20721874,670561,699091,674002,716256,976686,1243621,1241029,1136682,951788,760529,594777,435190,307997,201030,127464,129603,10866306,717555,765136,671969,774521,1037168,1183585,1067197,901716,715721,565556,433570,331867,242319,174462,122296,150930,9855568
2020,  Sub-Saharan Africa,1435718,1573476,1404057,1508646,2099529,2591571,2493591,2192514,1794212,1481508,1159867,873995,612225,429925,279467,291237,22221538,688363,750829,703880,725761,1011221,1317648,1333291,1217190,1020171,844777,671509,498966,346497,235274,146252,139390,11651019,747355,822647,700177,782885,1088308,1273923,1160300,975324,774041,636731,488358,375029,265728,194651,133215,151847,10570519
1990,  Northern Africa and Western Asia,1374940,1378315,1158610,1052491,1489332,2144189,2253996,1864641,1382519,968063,708965,561883,477426,296072,204017,293310,17608769,671421,676477,567810,532636,829615,1349014,1484779,1228699,897623,604336,411272,297858,234147,136091,90817,124543,10137138,703519,701838,590800,519855,659717,795175,769217,635942,484896,363727,297693,264025,243279,159981,113200,168767,7471631
1995,  Northern Africa and Western Asia,1394773,1340386,1197352,1064177,1505532,2179709,2396871,2090703,1591091,1181569,776135,612323,508144,385506,296846,390947,18912064,691058,665328,595083,546556,848652,1378848,1574518,1392519,1067468,757610,474419,335449,254129,173695,128431,163946,11047709,703715,675058,602269,517621,656880,800861,822353,698184,523623,423959,301716,276874,254015,211811,168415,227001,7864355
2000,  Northern Africa and Western Asia,1352787,1347618,1199147,1086157,1547149,2281345,2561138,2377636,1820849,1322845,990480,669874,539265,411392,337317,476398,20321397,681616,677394,603359,564395,870419,1436618,1687088,1597374,1236385,885366,619750,384951,276215,188818,147609,202709,12060066,671171,670224,595788,521762,676730,844727,874050,780262,584464,437479,370730,284923,263050,222574,189708,273689,8261331
2005,  Northern Africa and Western Asia,1458334,1353222,1271718,1215188,1869632,2847455,3078130,2700176,2079192,1539822,1084249,805801,537777,428337,350014,546757,23165804,761314,707914,660132,655903,1100868,1862698,2102488,1854475,1453758,1066468,715688,473516,286821,202758,156147,237595,14298543,697020,645308,611586,559285,768764,984757,975642,845701,625434,473354,368561,332285,250956,225579,193867,309162,8867261
2010,  Northern Africa and Western Asia,1996785,1779812,1540586,1562593,2629421,4211715,4766394,4309788,3039319,2172045,1460166,985982,711346,452265,389143,631074,32638434,1028543,921488,802669,846287,1634557,2879416,3413115,3155910,2212130,1569343,1003945,614181,391584,223074,185547,277846,21159635,968242,858324,737917,716306,994864,1332299,1353279,1153878,827189,602702,456221,371801,319762,229191,203596,353228,11478799
2015,  Northern Africa and Western Asia,2626332,2433435,2034784,1869503,2991295,5401298,6291442,5427223,4079188,2829936,1977559,1349222,894447,629880,442900,757648,42036092,1380120,1281733,1073789,1032114,1800541,3574732,4387661,3868420,2966901,2044759,1390699,892204,522653,329960,223684,349993,27119963,1246212,1151702,960995,837389,1190754,1826566,1903781,1558803,1112287,785177,586860,457018,371794,299920,219216,407655,14916129
2020,  Northern Africa and Western Asia,2804775,2967685,2593535,2459093,3276613,5298647,6470725,6464023,5263030,3921606,2756305,1944128,1282542,794766,584753,885520,49767746,1493879,1596574,1407226,1330585,2005499,3481518,4415659,4358906,3584782,2839976,2003280,1379460,856281,460630,302139,419690,31936084,1310896,1371111,1186309,1128508,1271114,1817129,2055066,2105117,1678248,1081630,753025,564668,426261,334136,282614,465830,17831662
1990,  Central and Southern Asia,718690,1002027,1308099,1612665,1887543,2140776,2249018,2310987,2174353,1917517,1618149,1379760,1259220,1144717,1069378,2375724,26168623,363698,513845,677010,833793,960579,1080848,1135219,1182317,1132498,1013377,851070,701651,627501,548281,491802,1142028,13255517,354992,488182,631089,778872,926964,1059928,1113799,1128670,1041855,904140,767079,678109,631719,596436,577576,1233696,12913106
1995,  Central and Southern Asia,537921,754427,906805,1128169,1425756,1698073,1800192,1829453,1757322,1561917,1362851,1140768,1031676,933806,862933,2515745,21247814,272376,386576,467470,581699,718453,847276,903295,931542,909258,820684,711314,576849,498931,428940,384450,1204033,10643146,265545,367851,439335,546470,707303,850797,896897,897911,848064,741233,651537,563919,532745,504866,478483,1311712,10604668
2000,  Central and Southern Asia,467279,661191,770396,902818,1245209,1439893,1550922,1800758,1693744,1564318,1390831,1202009,1022946,928237,894888,2604386,20139825,239362,339051,399690,466061,629377,715504,776756,930072,886140,826354,729175,611558,496663,429202,402056,1248845,10125866,227917,322140,370706,436757,615832,724389,774166,870686,807604,737964,661656,590451,526283,499035,492832,1355541,10013959
2005,  Central and Southern Asia,544091,709990,777072,934285,1245740,1453496,1437175,1463710,1602658,1482934,1337204,1174760,1016818,870376,800516,2003719,18854544,274769,361040,401822,484071,639734,717729,714516,751576,829661,776519,693162,591623,490132,396162,341630,931031,9395177,269322,348950,375250,450214,606006,735767,722659,712134,772997,706415,644042,583137,526686,474214,458886,1072688,9459367
2010,  Central and Southern Asia,523197,758012,826942,962847,1363978,1604631,1618461,1528246,1439661,1553038,1425877,1252289,1096297,935637,818951,1968719,19676783,266245,386872,427189,496261,690437,798702,801865,788168,750007,815350,741257,634448,531063,431066,351805,906365,9817100,256952,371140,399753,466586,673541,805929,816596,740078,689654,737688,684620,617841,565234,504571,467146,1062354,9859683
2015,  Central and Southern Asia,550890,724796,810894,925450,1382299,1713075,1662099,1567744,1415602,1320251,1407417,1269998,1098732,943476,822650,1650892,19266265,280625,371614,418860,470397,688903,846065,827032,807953,737625,683551,719100,629816,527620,458266,376339,760095,9603861,270265,353182,392034,455053,693396,867010,835067,759791,677977,636700,688317,640182,571112,485210,446311,890797,9662404
2020,  Central and Southern Asia,668603,797688,834524,938331,1411869,1785616,1809136,1638899,1499299,1365468,1235762,1278569,1127221,922669,754172,1359750,19427576,347345,422182,443082,484649,699610,883125,903144,848236,782076,708939,637552,634592,538042,446225,340924,608213,9727936,321258,375506,391442,453682,712259,902491,905992,790663,717223,656529,598210,643977,589179,476444,413248,751537,9699640
1990,  Eastern and South-Eastern Asia,259201,300967,384101,510748,623018,685247,689608,616595,553557,434620,390695,378874,330100,238422,185983,254146,6835882,129547,150912,196811,262917,314742,344181,353048,325787,298333,237007,211511,199660,171963,117174,87718,106596,3507907,129654,150055,187290,247831,308276,341066,336560,290808,255224,197613,179184,179214,158137,121248,98265,147550,3327975
1995,  Eastern and South-Eastern Asia,312045,335287,408335,565169,797996,897779,867096,800518,668728,581191,456921,404286,374963,315411,235535,318546,8339806,157852,170730,205896,286188,394908,428593,419817,406475,346370,310144,249857,216099,194512,156879,111969,134587,4190876,154193,164557,202439,278981,403088,469186,447279,394043,322358,271047,207064,188187,180451,158532,123566,183959,4148930
2000,  Eastern and South-Eastern Asia,406778,430533,513494,631961,973945,1182686,1152412,1007723,843589,706942,620524,472896,419178,391366,333017,419168,10506212,208189,218042,253111,309007,468089,556007,537319,485656,424710,363349,329440,253886,217719,200639,162391,178359,5165913,198589,212491,260383,322954,505856,626679,615093,522067,418879,343593,291084,219010,201459,190727,170626,240809,5340299
2005,  Eastern and South-Eastern Asia,353292,426461,578567,914914,1346917,1464330,1440912,1273563,1064705,880185,743155,639701,488472,414495,378968,570520,12979157,181777,217927,294074,461458,660243,718913,689945,615982,532008,449504,388934,339869,256394,210383,181207,237430,6436048,171515,208534,284493,453456,686674,745417,750967,657581,532697,430681,354221,299832,232078,204112,197761,333090,6543109
2010,  Eastern and South-Eastern Asia,426919,453084,507814,906642,1730772,2098232,1869365,1639493,1354544,1066396,856886,693401,618248,451043,381008,706616,15760463,219197,229766,254119,447181,840150,1066982,931975,804483,678635,545586,447064,368274,328575,231118,181719,291329,7866153,207722,223318,253695,459461,890622,1031250,937390,835010,675909,520810,409822,325127,289673,219925,199289,415287,7894310
2015,  Eastern and South-Eastern Asia,566734,474978,518197,952116,1902303,2357761,2164544,1892868,1624124,1323153,1042957,813778,665273,565532,400971,762521,18027810,294508,242648,260692,475640,974624,1236858,1095295,938525,814248,670084,535339,425999,348420,289051,192434,306449,9100814,272226,232330,257505,476476,927679,1120903,1069249,954343,809876,653069,507618,387779,316853,276481,208537,456072,8926996
2020,  Eastern and South-Eastern Asia,550218,510527,515775,992460,1977016,2601275,2343305,2019587,1751062,1510585,1224354,951303,742119,593132,493970,814418,19591106,287405,261780,260513,495719,1011143,1384155,1207276,1014399,881526,760732,623388,490561,386103,303223,233705,319310,9920938,262813,248747,255262,496741,965873,1217120,1136029,1005188,869536,749853,600966,460742,356016,289909,260265,495108,9670168
1990,  Latin America and the Caribbean,320974,395219,422440,451445,495575,535273,550859,552152,559282,484649,430041,399127,396578,377101,275419,489837,7135971,166979,202742,213178,222007,240074,259724,272218,278011,286233,252266,227153,210678,204199,192267,135669,218819,3582217,153995,192477,209262,229438,255501,275549,278641,274141,273049,232383,202888,188449,192379,184834,139750,271018,3553754
1995,  Latin America and the Caribbean,260698,311982,364030,414705,505943,544248,549480,528199,508286,481328,425631,368385,341289,327313,293062,436974,6661553,135133,160482,183539,205032,247365,266028,270940,264329,259568,248342,221663,192861,176160,167053,143278,193456,3335229,125565,151500,180491,209673,258578,278220,278540,263870,248718,232986,203968,175524,165129,160260,149784,243518,3326324
2000,  Latin America and the Caribbean,294397,349716,324750,360146,471125,528842,541329,519466,478759,455670,448028,375444,328001,296160,286021,481884,6539738,152496,179219,165304,180201,231926,259719,268657,258568,239976,230812,228890,194578,171082,152572,141846,210383,3266229,141901,170497,159446,179945,239199,269123,272672,260898,238783,224858,219138,180866,156919,143588,144175,271501,3273509
2005,  Latin America and the Caribbean,225245,363867,403733,436710,580632,665215,655692,609777,547296,491154,440532,401027,345844,296068,261777,459544,7184113,116227,185790,204723,216215,281152,322399,325089,304188,273056,247757,224960,205740,177449,152477,131104,204172,3572498,109018,178077,199010,220495,299480,342816,330603,305589,274240,243397,215572,195287,168395,143591,130673,255372,3611615
2010,  Latin America and the Caribbean,493534,545322,470486,498951,644735,736066,725158,690181,623268,555756,487198,422598,398222,317145,244969,472999,8326588,252872,278621,237688,247205,320937,365577,359831,343514,309683,277501,243470,211999,198871,161290,123078,207294,4139431,240662,266701,232798,251746,323798,370489,365327,346667,313585,278255,243728,210599,199351,155855,121891,265705,4187157
2015,  Latin America and the Caribbean,423540,565166,571970,574297,831704,996339,934983,814950,717001,620993,532499,447834,384772,335427,262194,427834,9441503,217127,288320,288306,288984,422828,502186,471721,411705,361402,312389,265228,224529,193127,169505,131414,189878,4738649,206413,276846,283664,285313,408876,494153,463262,403245,355599,308604,267271,223305,191645,165922,130780,237956,4702854
2020,  Latin America and the Caribbean,917986,1115877,1021689,931351,1313481,1701606,1632429,1345673,1068699,883978,722936,581436,436601,348770,283647,488464,14794623,466776,567577,517539,463968,650671,863374,844024,694859,549494,451503,362019,290638,215745,175077,141303,218854,7473421,451210,548300,504150,467383,662810,838232,788405,650814,519205,432475,360917,290798,220856,173693,142344,269610,7321202
1990,  Oceania (excluding Australia and New Zealand),14091,17259,16728,17347,25765,29080,29511,26579,22432,16499,13843,10521,8229,4789,2844,3161,258678,7299,9052,8715,9169,13916,15540,16480,15385,13280,10016,8313,6200,4872,2820,1552,1629,144238,6792,8207,8013,8178,11849,13540,13031,11194,9152,6483,5530,4321,3357,1969,1292,1532,114440
