,Country,Year,Migrantes,Diff,Poblacion Total,Stock de Migrantes cambio anual (% de Poblacion Emisor),% Migrantes (%Poblacion)
0,Morocco,1990,-1748116.0,,24570814.0,,-7.114603529211527
1,Morocco,1991,-1775277.6,-27161.600000000093,24988083.0,-0.1086982142647761,-7.104496971616431
2,Morocco,1992,-1802439.2,-27161.59999999986,25400676.0,-0.10693258714846747,-7.096028467903767
3,Morocco,1993,-1829600.8,-27161.600000000093,25806777.0,-0.10524987293066504,-7.0896137088331495
4,Morocco,1994,-1856762.4,-27161.59999999986,26201551.0,-0.10366409225163754,-7.086459881707002
5,Morocco,1995,-1883924.0,-27161.600000000093,26599048.0,-0.10211493283519055,-7.082674537825564
6,Morocco,1996,-1922541.2,-38617.19999999995,26999093.0,-0.1430314714646153,-7.120762167825416
7,Morocco,1997,-1961158.4,-38617.19999999995,27397118.0,-0.1409535119715875,-7.158265332871873
8,Morocco,1998,-1999775.6,-38617.200000000186,27791825.0,-0.13895165214950866,-7.195553368661469
9,Morocco,1999,-2038392.8,-38617.19999999995,28176997.0,-0.13705222029160863,-7.234244302187348
10,Morocco,2000,-2077010.0,-38617.19999999995,28554415.0,-0.1352407324751705,-7.2738664055978735
11,Morocco,2001,-2155739.2,-78729.20000000019,28930097.0,-0.27213596967891324,-7.451545012102795
12,Morocco,2002,-2234468.4,-78729.19999999972,29301817.0,-0.2686836792407779,-7.625699116201565
13,Morocco,2003,-2313197.6,-78729.20000000019,29661270.0,-0.2654276098090209,-7.798713945829022
14,Morocco,2004,-2391926.8,-78729.19999999972,30033125.0,-0.2621412190706086,-7.964295423802883
15,Morocco,2005,-2470656.0,-78729.20000000019,30431902.0,-0.2587061433097418,-8.118638131786833
16,Morocco,2006,-2548665.2,-78009.20000000019,30833022.0,-0.2530053654812045,-8.266024653697585
17,Morocco,2007,-2626674.4,-78009.19999999972,31232633.0,-0.24976824720477367,-8.410031904770884
18,Morocco,2008,-2704683.6,-78009.20000000019,31634992.0,-0.24659149589796067,-8.549657923099838
19,Morocco,2009,-2782692.8,-78009.19999999972,32042877.0,-0.24345254641148398,-8.68427888045134
20,Morocco,2010,-2860702.0,-78009.20000000019,32464865.0,-0.24028807758787904,-8.811686110507468
21,Morocco,2011,-2882915.6,-22213.600000000093,32903699.0,-0.06751095066849504,-8.76167630879434
22,Morocco,2012,-2905129.2,-22213.600000000093,33352169.0,-0.06660316454980812,-8.710465577216283
23,Morocco,2013,-2927342.8,-22213.599999999627,33803527.0,-0.06571385287694868,-8.659873864641403
24,Morocco,2014,-2949556.4,-22213.600000000093,34248603.0,-0.06485987180265453,-8.612194780616306
25,Morocco,2015,-2971770.0,-22213.600000000093,34680458.0,-0.06405221061382779,-8.569004480852012
26,Morocco,2016,-3029860.4,-58090.39999999991,35107264.0,-0.1654654717610575,-8.630294858636663
27,Morocco,2017,-3087950.8,-58090.39999999991,35528115.0,-0.16350543787645336,-8.691569479551617
28,Morocco,2018,-3146041.2,-58090.40000000037,35927511.0,-0.16168779406956515,-8.756635548730332
29,Morocco,2019,-3204131.6,-58090.39999999991,36304408.0,-0.16000921981705335,-8.825737084047756
30,Morocco,2020,-3262222.0,-58090.39999999991,36688772.0,-0.1583329090436712,-8.891608582593062
31,Poland,1990,-1673426.0,,38110782.0,,-4.390951620987468
32,Poland,1991,-1693895.6,-20469.600000000093,38246193.0,-0.05352062099357207,-4.428926037161398
33,Poland,1992,-1714365.2,-20469.59999999986,38363667.0,-0.053356734641659416,-4.468720886353226
34,Poland,1993,-1734834.8,-20469.600000000093,38461408.0,-0.053221140526108913,-4.5105857799069655
