"Region, development group, country or area",Both 1990,Both 1995,Both 2000,Both 2005,Both 2010,Both 2015,Both 2020,Male 1990,Male 1995,Male 2000,Male 2005,Male 2010,Male 2015,Male 2020,Female 1990,Female 1995,Female 2000,Female 2005,Female 2010,Female 2015,Female 2020
WORLD,152986157,161289976,173230585,191446828,220983187,247958644,280598105,77563467,81581501,87719833,97663081,113940881,128238058,145655844,75422690,79708475,85510752,93783747,107042306,119720586,134942261
  Sub-Saharan Africa,15334807,16488973,15638014,17274985,19942724,24197211,28284538,8136844,8677806,8246575,9227058,10531120,12578348,14732802,7197963,7811167,7391439,8047927,9411604,11618863,13551736
  Northern Africa and Western Asia,16365218,18069437,19437054,21867791,25313711,32606047,37563820,8830013,9829261,10736407,12097241,14249463,18177303,20941050,7535205,8240176,8700647,9770550,11064248,14428744,16622770
  Central and Southern Asia,31104020,29069983,30897694,33347690,41082388,46481130,51229549,17054672,16042463,17179372,18895884,24444167,27971106,31211577,14049348,13027520,13718322,14451806,16638221,18510024,20017972
  Eastern and South-Eastern Asia,14774419,17860923,21440854,25556983,30977206,35205590,38400740,7414751,8861759,10500432,12487051,15130964,17150433,18801912,7359668,8999164,10940422,13069932,15846242,18055157,19598828
  Latin America and the Caribbean,15273399,19669704,24628700,29338206,34637650,36206000,42890481,7544689,9726163,12182539,14495367,16857618,17582139,20697275,7728710,9943541,12446161,14842839,17780032,18623861,22193206
  Oceania (excluding Australia and New Zealand),272517,313061,375176,407138,441903,495220,565281,133623,152358,183319,198892,214866,240815,273803,138894,160703,191857,208246,227037,254405,291478
  Australia and New Zealand,689030,758234,871660,984280,1149265,1256202,1404924,335351,366709,421127,481926,573939,622696,693842,353679,391525,450533,502354,575326,633506,711082
  Europe and Northern America,50532413,51582164,52877703,54849090,58681104,60592402,67601621,23704534,24148758,24676104,25682798,27337252,28229706,31770385,26827879,27433406,28201599,29166292,31343852,32362696,35831236
  Developed regions,51826246,52993691,54458296,56551836,60587161,62613012,69815370,24338984,24834922,25438034,26505508,28263791,29203683,32827157,27487262,28158769,29020262,30046328,32323370,33409329,36988213
  Less developed regions,92519577,100818788,111708559,127074327,151638790,174426790,198125584,48815493,52970355,58687841,67060709,81075598,93348863,106295489,43704084,47848433,53020718,60013618,70563192,81077927,91830095
" Less developed regions, excluding least developed countries",62696205,72701450,83646070,97124428,116141091,132944110,150520987,32572508,37664396,43328634,50504229,61260381,70333340,79492160,30123697,35037054,40317436,46620199,54880710,62610770,71028827
" Less developed regions, excluding China",87652367,95081133,105043210,118876449,141938473,163095388,186511434,46303670,50066462,55378675,63084782,76484858,88028326,100946274,41348697,45014671,49664535,55791667,65453615,75067062,85565160
  Least developed countries,29823372,28117338,28062489,29949899,35497699,41482680,47604597,16242985,15305959,15359207,16556480,19815217,23015523,26803329,13580387,12811379,12703282,13393419,15682482,18467157,20801268
  Land-locked Developing Countries (LLDC),25086015,23874777,23134479,24288062,27740905,31336289,35277768,12878639,12222604,11981487,12609177,14227283,16089640,18147434,12207376,11652173,11152992,11678885,13513622,15246649,17130334
  Small island developing States (SIDS),5452503,6572361,7793822,8501316,9401155,10467162,11559408,2605273,3085104,3608507,3940542,4285399,4903522,5417850,2847230,3487257,4185315,4560774,5115756,5563640,6141558
  High-income countries,34008977,35677967,38024485,40882214,45649196,47356719,52808019,16390698,17139953,18150941,19612464,21784350,22710503,25556460,17618279,18538014,19873544,21269750,23864846,24646216,27251559
  Middle-income countries,88958999,98929758,109879954,123912679,144581899,157981964,177395834,45289740,50350945,56045764,63532741,75477248,82602967,92895832,43669259,48578813,53834190,60379938,69104651,75378997,84500002
 Upper-middle-income countries,46251718,53059271,59585818,65735241,74175415,77576140,87648518,22500336,25869947,29121527,32157068,36086584,37485261,42001984,23751382,27189324,30464291,33578173,38088831,40090879,45646534
 Lower-middle-income countries,42707281,45870487,50294136,58177438,70406484,80405824,89747316,22789404,24480998,26924237,31375673,39390664,45117706,50893848,19917877,21389489,23369899,26801765,31015820,35288118,38853468
  Low-income countries,21142448,18959483,18002895,18605623,21718616,31399947,37419672,11348393,10185505,9794758,10305271,11939008,17088744,20512220,9794055,8773978,8208137,8300352,9779608,14311203,16907452
 AFRICA,20621464,22341394,22080003,25241406,29193852,35111959,40567163,11215846,12073478,11985328,13778387,15998855,18809167,21729832,9405618,10267916,10094675,11463019,13194997,16302792,18837331
  Eastern Africa,7784743,7734774,6079992,6192747,7524192,9824290,12027289,4056986,4002246,3167304,3320996,3932812,5021946,6136440,3727757,3732528,2912688,2871751,3591380,4802344,5890849
   Burundi,337100,540558,758673,619916,284078,459979,551105,173892,277424,388445,386645,143736,227726,274913,163208,263134,370228,233271,140342,232253,276192
   Comoros,40079,51290,70502,96143,109125,121749,150823,22060,27869,36958,49839,54190,59176,73002,18019,23421,33544,46304,54935,62573,77821
   Djibouti,5308,6964,9055,11987,13797,16969,18365,2890,3904,5201,6293,7178,8659,9293,2418,3060,3854,5694,6619,8310,9072
   Eritrea,170603,375257,511506,299311,328366,624757,802822,89618,197413,255453,153062,172456,326403,422881,80985,177844,256053,146249,155910,298354,379941
   Ethiopia,1689941,816420,445886,524038,680290,842496,946129,856294,413014,239365,284011,369043,451972,510262,833647,403406,206521,240027,311247,390524,435867
   Kenya,250332,277647,317434,362031,442632,480647,535348,123044,135350,154208,173569,213979,227217,252759,127288,142297,163226,188462,228653,253430,282589
   Madagascar,59415,67324,77089,148805,160819,175868,193526,25591,28611,32318,64403,64593,68219,74976,33824,38713,44771,84402,96226,107649,118550
   Malawi,143436,150825,186229,222023,260531,297471,311052,84442,88872,110217,129386,151191,172322,185426,58994,61953,76012,92637,109340,125149,125626
   Mauritius*,110707,114073,119003,130649,148186,165869,182973,51464,51947,53306,59779,67567,74559,82790,59243,62126,65697,70870,80619,91310,100183
   Mayotte*,1835,3937,6214,6468,6342,6545,6767,986,1948,2976,3137,3113,3199,3305,849,1989,3238,3331,3229,3346,3462
   Mozambique,2222354,812685,644421,662951,797808,596949,640160,1202046,485263,391190,410270,512836,348100,385940,1020308,327422,253231,252681,284972,248849,254220
   Réunion*,3087,2623,2360,2556,2749,2907,3064,1571,1257,1057,1068,1083,1087,1189,1516,1366,1303,1488,1666,1820,1875
   Rwanda,547717,2060363,318198,289100,334244,503667,492489,276832,1021474,157926,142456,161713,247155,241187,270885,1038889,160272,146644,172531,256512,251302
   Seychelles,35633,27798,19244,23487,25932,27483,29258,17221,13271,8747,10171,11169,11783,12624,18412,14527,10497,13316,14763,15700,16634
   Somalia,848055,968956,1006128,1060953,1595328,2008490,2034221,448851,507818,517690,568870,839805,1040985,1064786,399204,461138,488438,492083,755523,967505,969435
   South Sudan,514943,438044,342628,228537,402616,1060678,2575870,266794,233701,190326,124611,209902,543822,1271104,248149,204343,152302,103926,192714,516856,1304766
   Uganda,311591,361969,517776,586602,731768,786229,781440,157865,177878,254464,291881,349440,375951,372735,153726,184091,263312,294721,382328,410278,408705
   United Republic of Tanzania*,203043,229151,215460,234918,262172,294102,327863,107172,119442,108653,118644,131509,145322,162475,95871,109709,106807,116274,130663,148780,165388
   Zambia,85201,140895,160201,181499,182766,184371,200700,42598,67736,77129,86976,86152,86165,93621,42603,73159,83072,94523,96614,98206,107079
   Zimbabwe,204363,287995,351985,500773,754643,1167064,1243314,105755,148054,181675,255925,382157,602124,641172,98608,139941,170310,244848,372486,564940,602142
  Middle Africa,1922243,1857602,2439360,2726556,3007543,3816990,4420662,958727,933704,1224847,1386182,1495622,1910761,2223566,963516,923898,1214513,1340374,1511921,1906229,2197096
   Angola,824886,688581,913206,716766,651383,618288,668066,405465,344763,457876,353459,322362,305926,334386,419421,343818,455330,363307,329021,312362,333680
   Cameroon,115835,138936,164296,221232,278898,348974,441015,60058,71875,85099,110699,136330,171870,219379,55777,67061,79197,110533,142568,177104,221636
   Central African Republic,46354,49205,55416,131410,245933,686224,816668,24202,25035,27493,61515,120235,348076,409486,22152,24170,27923,69895,125698,338148,407182
   Chad,336798,223096,206052,210661,202423,191269,222303,168101,112966,107494,113818,112308,104493,119894,168697,110130,98558,96843,90115,86776,102409
   Congo,96370,115677,135235,172610,178111,204829,223767,51515,60811,70562,86625,91205,102286,113453,44855,54866,64673,85985,86906,102543,110314
   Democratic Republic of the Congo,436513,559824,862039,1130872,1298544,1572222,1832069,217210,278309,426558,591870,640699,778269,916179,219303,281515,435481,539002,657845,793953,915890
   Equatorial Guinea,36175,46412,59930,71789,84390,116947,128774,17708,22471,28899,33811,40109,62959,68753,18467,23941,31031,37978,44281,53988,60021
   Gabon,15347,16610,18041,41357,36933,43075,48392,7732,8323,8985,20471,18065,20636,23205,7615,8287,9056,20886,18868,22439,25187
   Sao Tome and Principe,13965,19261,25145,29859,30928,35162,39608,6736,9151,11881,13914,14309,16246,18831,7229,10110,13264,15945,16619,18916,20777
  Northern Africa,5286657,5852421,6441989,7966421,9251128,10914748,12282625,3079002,3395672,3738753,4551329,5467735,6230819,6997030,2207655,2456749,2703236,3415092,3783393,4683929,5285595
   Algeria,921665,979641,1037985,1599647,1655264,1836502,2022337,521302,550210,580303,835802,913853,985595,1085651,400363,429431,457682,763845,741411,850907,936686
   Egypt,1321915,1492004,1708296,1807941,2586643,3151069,3610461,822788,950652,1105517,1184398,1747685,2041623,2341886,499127,541352,602779,623543,838958,1109446,1268575
   Libya,76239,77398,80014,100248,127399,152544,185518,40081,40775,42647,53242,67086,81637,101126,36158,36623,37367,47006,60313,70907,84392
   Morocco,1748116,1883924,2077010,2470656,2860702,2971770,3262222,984599,1040375,1134308,1367790,1580278,1575252,1707428,763517,843549,942702,1102866,1280424,1396518,1554794
   Sudan,584935,775375,885660,1277632,1235193,1842602,2104887,336126,439826,502757,708617,707467,1013988,1155684,248809,335549,382903,569015,527726,828614,949203
   Tunisia,465549,476933,486964,579009,615732,774376,902268,281451,281972,282149,329476,361434,434592,502404,184098,194961,204815,249533,254298,339784,399864
   Western Sahara,168238,167146,166060,131288,170195,185885,194932,92655,91862,91072,72004,89932,98132,102851,75583,75284,74988,59284,80263,87753,92081
  Southern Africa,576752,604456,732312,904614,1199813,1129951,1278435,350233,333229,373117,456787,610233,545606,628886,226519,271227,359195,447827,589580,584345,649549
   Botswana,26048,23315,26683,33281,44249,55294,63561,19233,15684,16140,19815,26110,32477,39730,6815,7631,10543,13466,18139,22817,23831
   Eswatini,35179,30340,34116,44861,69030,46236,50039,25589,19847,19127,24643,37802,22566,24339,9590,10493,14989,20218,31228,23670,25700
   Lesotho,191328,136593,120565,159071,243128,191457,202164,145910,94102,67211,85462,129955,86078,89567,45418,42491,53354,73609,113173,105379,112597
   Namibia,16077,28220,49348,65598,99599,50410,47770,9360,14974,24829,32195,48854,25042,23612,6717,13246,24519,33403,50745,25368,24158
   South Africa,308120,385988,501600,601803,743807,786554,914901,150141,188622,245810,294672,367512,379443,451638,157979,197366,255790,307131,376295,407111,463263
  Western Africa,5051069,6292141,6386350,7451068,8211176,9425980,10558152,2770898,3408627,3481307,4063093,4492453,5100035,5743910,2280171,2883514,2905043,3387975,3718723,4325945,4814242
   Benin,234314,275696,328046,504165,541152,634923,681827,127252,148769,174755,280680,298194,341137,365338,107062,126927,153291,223485,242958,293786,316489
   Burkina Faso,1021331,1215665,1279414,1352292,1434528,1518568,1599347,573295,681370,715933,757585,801969,848841,894339,448036,534295,563481,594707,632559,669727,705008
   Cabo Verde,91363,106954,124823,141984,152863,171429,187558,42681,50377,59328,66615,70174,76690,85032,48682,56577,65495,75369,82689,94739,102526
   Côte d'Ivoire,366336,449498,539234,731962,939795,1056380,1149298,185629,228580,271361,361279,463697,520911,571219,180707,220918,267873,370683,476098,535469,578079
   Gambia,36280,38384,45427,61209,77440,96963,139210,20808,22147,26237,36960,47865,60472,93414,15472,16237,19190,24249,29575,36491,45796
   Ghana,371157,428051,495887,665731,762002,892253,1004324,187375,215795,251580,355105,404723,466166,529432,183782,212256,244307,310626,357279,426087,474892
