"Region, development group, country or area",Both 1990,Both 1995,Both 2000,Both 2005,Both 2010,Both 2015,Both 2020,Male 1990,Male 1995,Male 2000,Male 2005,Male 2010,Male 2015,Male 2020,Female 1990,Female 1995,Female 2000,Female 2005,Female 2010,Female 2015,Female 2020
WORLD,5327231.041,5744212.93,6143493.806,6541906.956,6956823.588,7379796.967,7794798.729,2680895.262,2892141.549,3093433.858,3296485.267,3507703.635,3720696.374,3929973.953,2646335.779,2852071.381,3050059.948,3245421.689,3449119.953,3659100.593,3864824.776
  Sub-Saharan Africa,490604.852,560759.472,639661.386,729733.003,836363.757,958577.201,1094365.605,244051.001,278799.894,318000.98,362945.511,416385.807,477837.402,546155.739,246553.851,281959.578,321660.406,366787.492,419977.95,480739.799,548209.866
  Northern Africa and Western Asia,288060.443,323178.117,355881.668,391985.543,435366.79,481520.015,525869.282,145658.866,163624.109,179941.556,199133.418,222726.512,246800.019,270179.461,142401.577,159554.008,175940.112,192852.125,212640.278,234719.996,255689.821
  Central and Southern Asia,1239984.308,1376199.571,1511915.31,1647073.789,1775360.533,1896327.293,2014708.531,640531.564,711481.304,781526.678,851430.252,916462.273,977497.118,1037597.732,599452.744,664718.267,730388.632,795643.537,858898.26,918830.175,977110.799
  Eastern and South-Eastern Asia,1837799.004,1950219.95,2044789.22,2125348.402,2201806.674,2279489.616,2346709.481,933103.491,989641.715,1037057.235,1078362.659,1117990.393,1156649.075,1189407.443,904695.513,960578.235,1007731.985,1046985.743,1083816.281,1122840.541,1157302.038
  Latin America and the Caribbean,442840.078,483018.226,521836.322,557500.981,591352.345,623934.126,653962.332,219608.291,238982.497,257772.624,274944.992,291416.322,307136.689,321628.754,223231.787,244035.729,264063.698,282555.989,299936.023,316797.437,332333.578
  Oceania (excluding Australia and New Zealand),6939.919,7721.606,8574.661,9376.317,10348.322,11311.667,12355.695,3540.632,3933.957,4361.535,4770.127,5264.445,5759.765,6294.541,3399.287,3787.649,4213.126,4606.19,5083.877,5551.902,6061.154
  Australia and New Zealand,20358.775,21668.023,22850.426,24313.896,26524.747,28547.026,30322.114,10127.623,10761.99,11367.527,12095.817,13225.135,14194.316,15068.788,10231.152,10906.033,11482.899,12218.079,13299.612,14352.71,15253.326
  Europe and Northern America,1000643.662,1021447.965,1037984.813,1056575.025,1079700.42,1100090.023,1116505.689,484273.794,494916.083,503405.723,512802.491,524232.748,534821.99,543641.495,516369.868,526531.882,534579.09,543772.534,555467.672,565268.033,572864.194
  Developed regions,1145507.68,1169481.474,1188359.407,1209215.036,1234767.516,1256622.188,1273304.261,555758.693,567867.678,577397.822,587783.894,600332.392,611553.051,620463.328,589748.987,601613.796,610961.585,621431.142,634435.124,645069.137,652840.933
  Less developed regions,4181723.361,4574731.456,4955134.399,5332691.92,5722056.072,6123174.779,6521494.468,2125136.569,2324273.871,2516036.036,2708701.373,2907371.243,3109143.323,3309510.625,2056586.792,2250457.585,2439098.363,2623990.547,2814684.829,3014031.456,3211983.843
" Less developed regions, excluding least developed countries",3675447.735,3995049.754,4297918.545,4588501.411,4885441.231,5182043.462,5464056.305,1872569.068,2034700.098,2188231.813,2337587.605,2490939.681,2641219.355,2783494.297,1802878.667,1960349.656,2109686.732,2250913.806,2394501.55,2540824.107,2680562.008
" Less developed regions, excluding China",2978289.406,3305985.141,3635583.004,3971957.379,4322553.373,4684981.353,5050207.589,1507663.269,1673436.12,1839235.055,2010239.82,2188768.136,2371247.127,2555677.206,1470626.137,1632549.021,1796347.949,1961717.559,2133785.237,2313734.226,2494530.383
  Least developed countries,506275.626,579681.702,657215.854,744190.509,836614.841,941131.317,1057438.163,252567.501,289573.773,327804.223,371113.768,416431.562,467923.968,526016.328,253708.125,290107.929,329411.631,373076.741,420183.279,473207.349,531421.835
  Land-locked Developing Countries (LLDC),265852.002,298698.477,333947.033,374684.858,420661.371,473816.858,533143.398,131642.248,148353.751,165592.611,185929.563,208697.979,234663.899,264412.004,134209.754,150344.726,168354.422,188755.295,211963.392,239152.959,268731.394
  Small island developing States (SIDS),49770.838,53768.579,57577.24,61001.741,65206.321,68809.959,72027.554,24857.572,26852.843,28747.324,30480.378,32734.392,34587.779,36303.803,24913.266,26915.736,28829.916,30521.363,32471.929,34222.18,35723.751
  High-income countries,1030391.304,1065242.334,1098780.443,1135351.097,1177929.112,1212054.247,1238417.44,507042.145,524649.696,541459.903,560854.06,584200.657,602334.47,616906.947,523349.159,540592.638,557320.54,574497.037,593728.455,609719.777,621510.493
  Middle-income countries,3991573.63,4326140.034,4640681.674,4941373.573,5244983.653,5561737.202,5867348.511,2022710.299,2192390.87,2351429.991,2504309.681,2658069.539,2816609.298,2969626.909,1968863.331,2133749.164,2289251.683,2437063.892,2586914.114,2745127.904,2897721.602
 Upper-middle-income countries,2225369.409,2365034.258,2483516.241,2589938.292,2695485.306,2811079.126,2913153.578,1121608.437,1191119.046,1250151.322,1304012.93,1357176.92,1414522.032,1464474.266,1103760.972,1173915.212,1233364.919,1285925.362,1338308.386,1396557.094,1448679.312
 Lower-middle-income countries,1766204.221,1961105.776,2157165.433,2351435.281,2549498.347,2750658.076,2954194.933,901101.862,1001271.824,1101278.669,1200296.751,1300892.619,1402087.266,1505152.643,865102.359,959833.952,1055886.764,1151138.53,1248605.728,1348570.81,1449042.29
  Low-income countries,303390.423,350774.325,401768.207,462679.641,531260.033,603234.487,686089.21,150213.016,174085.877,199428.641,230092.821,264139.915,300399.93,342003.518,153177.407,176688.448,202339.566,232586.82,267120.118,302834.557,344085.692
 AFRICA,630349.685,717270.112,810984.232,916154.285,1039304.03,1182438.803,1340598.113,314377.324,357597.604,404163.048,456648.127,518252.648,590281.019,669878.34,315972.361,359672.508,406821.184,459506.158,521051.382,592157.784,670719.773
  Eastern Africa,197168.372,223934.244,257353.351,295185.413,339317.85,389671.295,445405.578,97877.182,110939.026,127368.741,146040.433,167965.816,193127.857,221039.935,99291.19,112995.218,129984.61,149144.98,171352.034,196543.438,224365.643
