"Region, development group, country or area",Both 1990,Both 1995,Both 2000,Both 2005,Both 2010,Both 2015,Both 2020,Male 1990,Male 1995,Male 2000,Male 2005,Male 2010,Male 2015,Male 2020,Female 1990,Female 1995,Female 2000,Female 2005,Female 2010,Female 2015,Female 2020
WORLD,2.8717762721866524,2.8078690321112454,2.819740533160717,2.9264682192462534,3.1764954825242295,3.35996566177618,3.5998120638581024,2.8931927367478036,2.8207990382838624,2.835678311761725,2.9626427267147863,3.2483041002407833,3.4466144267003287,3.7062801367630334,2.850080122050906,2.7947573658571065,2.8035761085965385,2.889724540816058,3.10346718753275,3.2718582874991213,3.4915492634484186
  Sub-Saharan Africa,2.7081552385462344,2.545732655943438,2.0559673114299883,1.9583010417852789,1.8956628461364569,2.161732406986383,2.030540607131014,2.88809182143039,2.695156333165607,2.1823806958079186,2.1097288071982794,2.014488452532677,2.2740593253099934,2.133277775554053,2.5300452516557934,2.397983444279378,1.9309920910813003,1.808459433507618,1.777853575407947,2.0500836461846585,1.9281883919980383
  Northern Africa and Western Asia,6.11287298478535,5.851901166934518,5.710155601496169,5.9098618338585,7.4967670363649,8.729874291933639,9.463900574439714,6.959506330359595,6.751883367016531,6.702212800694022,7.180383455277204,9.500276734006412,10.98863894333817,11.820322641031547,5.246873775843087,4.9289611076394895,4.695535830965027,4.597958669109817,5.398224225421677,6.354860793368452,6.973942853986354
  Central and Southern Asia,2.110399529346302,1.5439485992980302,1.3320736199172427,1.1447297702094632,1.1083260348674204,1.0159778362690053,0.9642871760887977,2.069455706011078,1.49591365790829,1.2956519956443509,1.1034582078720876,1.0711952132916658,0.9824950706401981,0.937544069342665,2.1541491183832164,1.5953628065407146,1.371045298525402,1.1888950968755245,1.1479453922749827,1.0515984632307054,0.9926857844501215
  Eastern and South-Eastern Asia,0.37196026252716374,0.427634124038163,0.5138041563032105,0.6106837348543104,0.7157968583757686,0.7908704594862256,0.8348330357301693,0.3759397573618123,0.4234740650559582,0.4981319087947928,0.5968352062531869,0.703597548713462,0.7868258572722241,0.8341076103388736,0.36785580918427746,0.4319200507390218,0.5299324700902492,0.6249472873672168,0.7283808278572999,0.7950368439715965,0.8355785855792297
  Latin America and the Caribbean,1.6114103836825717,1.3791514774020142,1.2532163293914984,1.2886278670063902,1.4080586760842217,1.5132211248852254,2.262305071112261,1.6311847716168422,1.3955955109130858,1.2670969280275473,1.2993500896353842,1.420452695165098,1.5428469374428921,2.3236171850480756,1.5919569734036128,1.3630479494254713,1.2396664232127812,1.2781944607799482,1.396016709870158,1.4844987524315103,2.2029678866816162
  Oceania (excluding Australia and New Zealand),3.727392207315388,3.6337000359769713,3.4592387967291067,3.263957479253315,2.88138502068258,2.6769706003544833,2.533803238101944,4.073792475467656,3.8910440556416863,3.5947894491274286,3.37967940895494,3.009965912836016,2.7839330250452927,2.629341837633594,3.366588346320861,3.3664154202250525,3.3189133199434337,3.1441169382939047,2.7482372213175106,2.566003506546045,2.4345858890897674
  Australia and New Zealand,21.972147145395535,21.88453925861164,22.16616442949466,23.517341688061837,25.75113346038701,27.216376234778362,29.904194674553363,22.427957675754715,22.13819191432068,22.166888189489235,23.370723945311013,25.56553865045612,27.096177089477223,29.732656667543534,21.520948960586257,21.634236756848253,22.16544794132562,23.662492278859876,25.935688950925783,27.33524888331193,30.073657378069544
  Europe and Northern America,7.716896227140646,8.500753633593074,9.365310723481654,10.311508167628704,11.262168815308971,11.85292305846137,13.0241040804943,7.76763361265012,8.549907237506362,9.432779531590665,10.396898403521991,11.260453152766411,11.742598691575864,12.931424596277369,7.669312532388122,8.454551475764196,9.301776281597547,10.230981250700683,11.263788003129731,11.95730521701021,13.112055839188999
  Developed regions,7.225373643937508,7.946692193603743,8.748364290097298,9.649099087120515,10.573833236474615,11.172369892930778,12.350028804309483,7.274163860897088,7.990873535859176,8.798423732190663,9.709968677705891,10.558241041905998,11.06987969225257,12.269556243620574,7.179395460326582,7.904989100349686,8.70105491166028,9.591525266688357,10.588587305264014,11.269534973892263,12.42651033341379
  Less developed regions,1.6791868074029683,1.4941835090745925,1.3979151607669642,1.4020774520947763,1.5802174578900212,1.7566731129234028,1.8913557713685698,1.7474956453022197,1.5576440217186436,1.4673051368013077,1.4984837163886209,1.738902113781415,1.9471560076421732,2.1008467679417104,1.6086011117395136,1.4286414555997953,1.3263363827693242,1.3025588845614084,1.4163073815324139,1.5601792710686295,1.67550391379724
" Less developed regions, excluding least developed countries",1.6095651541076803,1.4185832339949376,1.377518591385961,1.4160714834745858,1.637294344929149,1.816350069045407,1.961179223243747,1.6867968471644113,1.493086673061142,1.4570665598855363,1.5237000711252489,1.8214466350219098,2.0388943045588124,2.2091736658586014,1.52934806455281,1.3412540930912378,1.2950089975728207,1.304298544073171,1.445725353570976,1.5850124724906822,1.7036619135728643
" Less developed regions, excluding China",2.263684176030004,1.9735103219570096,1.8112811047787594,1.7897719994643477,2.0004984216073436,2.206389571514694,2.3551310100413376,2.3694808207203195,2.0737061657304254,1.9208433366881428,1.934795073355974,2.2275834154413148,2.4731359010308673,2.6448764281070947,2.1552230850905922,1.8708050788754846,1.6991031173549105,1.6411618406684199,1.7675619526277564,1.9330126812931538,2.058283248418546
  Least developed countries,2.18462442827536,2.015205406638832,1.5313002476656628,1.3157935880098681,1.246915006615332,1.4280807319049187,1.5305599482132555,2.1975246134299757,2.0112584574432435,1.535651967485483,1.3396498402074912,1.2451512981141424,1.4293347760292543,1.5276187396220902,2.1717822399262934,2.0191450885852897,1.5269697626432626,1.292062857384079,1.2486629673809557,1.4268406892387464,1.5334712394721233
  Land-locked Developing Countries (LLDC),5.346148568781514,4.141319073414626,3.444805571906369,3.089537181136901,2.7568911241911964,2.9170384646803766,2.817763486588274,5.03954703052473,3.8501170085008503,3.2144731385387724,2.922537391216264,2.6581143845192674,2.8566895157571723,2.7472538652216407,5.646884651915837,4.42866482725839,3.6713594609353355,3.2540369264872813,2.854146153690539,2.9762546237197087,2.887139788364288
  Small island developing States (SIDS),4.646626604920737,5.130888804035531,5.709144794019304,6.4229052085579,7.223926956406573,7.6645402448212465,7.883095683077062,4.888502384705956,5.27483067621555,5.717791332508027,6.502665419700504,7.396554058496031,7.944999879870865,8.282385732425885,4.405291542265073,4.987283275478702,5.70052302615103,6.34325210181472,7.049904549865209,7.381084431208064,7.477322300225415
  High-income countries,7.404488149678716,8.251331663655042,9.250411731254303,10.483642840924652,12.1096208207137,13.078318185209081,14.687919446612444,7.743501085102107,8.573226353303747,9.569260200602518,10.892356560635399,12.720034308348954,13.720382298559139,15.452632923584178,7.076038503770674,7.938930163529161,8.940637285681234,10.084635127543748,11.509002882470911,12.44403115367537,13.92887022423932
  Middle-income countries,1.6842729768209237,1.4810282722346106,1.3763769956008407,1.3103132164259865,1.3168722072278305,1.4131819096331333,1.4639582571065037,1.6578733502557799,1.455039903536909,1.3614562679956905,1.307435947255758,1.3166655531956721,1.4273648471070268,1.482075504724624,1.7113946138092813,1.5077308777799714,1.3917029847172115,1.3132698779486902,1.3170845454670554,1.398629657439816,1.4453914403334043
 Upper-middle-income countries,1.5857746070059329,1.488929087639457,1.4423988620898252,1.475311636498249,1.5611326430284016,1.8139466985604873,1.9698049369369703,1.5802906268616093,1.4847491574742226,1.4490525011819329,1.493827212280786,1.59402637056339,1.87943689801786,2.039666226541942,1.5913472613706439,1.493170275060717,1.4356546653164537,1.4565356243436467,1.5277751536109705,1.7476140506433175,1.89918194952452
